"x","y","prec","altitud","temp","lprec","res","pred_trend"
-76.224998453632,4.82499932684004,50.8651475195701,2130.9150390625,21.5055573407341,3.92917796445914,0.27882300831762,3.65035495614154
-76.224998453632,4.77499932609499,47.8511040560328,1927.39086914062,21.4808900870529,3.8680941909041,0.184750979285146,3.68334321161896
-76.2749984543771,4.72499932534993,49.0801060228394,2056.8994140625,21.4562230577656,3.89345378004493,0.237189920239265,3.65626385980566
-76.224998453632,4.72499932534993,44.6229009636893,1680.20654296875,21.4562230577656,3.79824720176527,0.0740409111093067,3.72420629065596
-76.2749984543771,4.67499932460487,43.3286621645093,1931.55126953125,21.4315557292863,3.76881435977341,0.093662520488465,3.67515183928495
-76.224998453632,4.67499932460487,37.8891838969519,1546.88195800781,21.4315557292863,3.63466568605355,-0.109867259442746,3.74453294549629
-76.2749984543771,4.62499932385981,39.1763608541626,1601.16870117188,21.406888849595,3.66807352546038,-0.0629475152224007,3.73102104068278
-76.224998453632,4.62499932385981,34.51362385085,1379.88671875,21.406888849595,3.54135414031464,-0.229578555041771,3.77093269535642
-76.2749984543771,4.57499932311475,33.7860805498293,1385.66784667969,21.3822217455097,3.52004889961624,-0.246120600851148,3.76616950046739
-76.224998453632,4.57499932311475,30.4352181806014,1667.8642578125,21.3822217455097,3.41560043066018,-0.299670548436415,3.71527097909659
-76.2749984543771,4.52499932236969,32.2284192013053,1527.30285644531,21.3575545292275,3.47284864719368,-0.264054276305469,3.73690292349915
-76.224998453632,4.52499932236969,28.3879899746523,1644.48071289062,21.3575545292275,3.34596616750825,-0.369801903118301,3.71576807062656
-76.2749984543771,4.47499932162464,29.6806270964444,1767.09973144531,21.2011437883564,3.39049454666237,-0.279566227144108,3.67006077380648
-76.224998453632,4.47499932162464,29.3684947089507,1668.86059570312,21.2011437883564,3.37992249122259,-0.307857241977989,3.68777973320058
-76.2749984543771,4.42499932087958,28.3399980667119,1971.39819335938,20.9129967035032,3.34427416604488,-0.245477682948525,3.58975184899341
-76.224998453632,4.42499932087958,28.2957558186295,1863.85180664062,20.9129967035032,3.34271182232924,-0.266437693844918,3.60914951617416
-76.2749984543771,4.37499932013452,28.2415133356475,1777.04626464844,20.624849543852,3.34079299956202,-0.240552725088478,3.5813457246505
-76.224998453632,4.37499932013452,27.7486959509552,1564.67199707031,20.624849543852,3.32318884632988,-0.29646188777677,3.61965073410665
-76.2749984543771,4.32499931938946,27.9263863265514,1652.77587890625,20.3367023468018,3.32957198836227,-0.230727307662256,3.56029929602453
-76.224998453632,4.32499931938946,28.6896012183279,1328.78076171875,20.3367023468018,3.3565347302218,-0.262202135331003,3.6187368655528
-76.2749984543771,4.2749993186444,28.8311591990865,1524.77221679688,20.0485552619485,3.36145671892685,-0.178469519977869,3.53992623890472
-76.224998453632,4.2749993186444,29.7344932587674,1082.65197753906,20.0485552619485,3.39230776110204,-0.227361754324135,3.61966951542618
-76.2749984543771,4.22499931789935,31.2685766687187,1253.56604003906,19.7604083266913,3.44261365296398,-0.102768357012533,3.54538200997651
-76.224998453632,4.22499931789935,31.171729443165,971.425109863281,19.7604083266913,3.43951157646094,-0.156758948030985,3.59627052449192
-76.2749984543771,4.17499931715429,31.4072025948419,1048.84631347656,19.4722610922421,3.44703724861151,-0.0918086196868978,3.53884586829841
-76.224998453632,4.17499931715429,31.2502142067712,942.686706542969,19.4722610922421,3.4420262307756,-0.11596717735344,3.55799340812904
-76.2749984543771,4.12499931640923,30.4396397990103,945.115600585938,19.1841140447878,3.41574569977664,-0.0983491123063308,3.51409481208297
-76.224998453632,4.12499931640923,30.543518951306,941.107849121094,19.1841140447878,3.41915251749144,-0.0956651550374241,3.51481767252887
-76.9249984640628,4.07499931566417,95.161514289104,50.095085144043,24.0439174876494,4.55557559839247,0.147057741036237,4.40851785735623
-76.2749984543771,4.07499931566417,30.1382787342255,937.056701660156,18.8959668103386,3.4057960825505,-0.0662917422185779,3.47208782476908
-76.224998453632,4.07499931566417,30.1863564436252,965.065246582031,18.8959668103386,3.40739004891059,-0.0596459982099051,3.46703604712049
-76.9249984640628,4.02499931491911,90.1383872513588,53.3857765197754,23.9943814371146,4.50134612550447,0.100893195727009,4.40045292977747
-76.8749984633178,4.02499931491911,85.4458009245304,79.6684188842773,23.9943814371146,4.44788226762309,0.0521698220661725,4.39571244555692
-76.2749984543771,4.02499931491911,27.6792548420624,938.959777832031,18.6078199498794,3.32068320994138,-0.107600886434635,3.42828409637602
-76.224998453632,4.02499931491911,27.0566201808934,992.002014160156,18.6078199498794,3.29793171401406,-0.120785388265669,3.41871710227973
-76.9249984640628,3.97499931417406,90.7377485684477,55.1700057983398,23.9040472367231,4.50797346203079,0.121467230040743,4.38650623199005
-76.8749984633178,3.97499931417406,87.0230405456745,80.5778579711914,23.9040472367231,4.46617291745062,0.0842493876346097,4.38192352981601
-76.8249984625727,3.97499931417406,85.8255064137853,119.161689758301,23.9040472367231,4.45231623986565,0.0773519055223968,4.37496433434325
-76.2749984543771,3.97499931417406,24.4958775787113,957.653869628906,18.3568205365948,3.19850484129961,-0.188549862956891,3.3870547042565
-76.224998453632,3.97499931417406,23.6931760231606,1103.67211914062,18.3568205365948,3.16518707516864,-0.19553096178772,3.36071803695636
-76.9249984640628,3.924999313429,86.6680535502159,75.8914642333984,23.7729173174091,4.46208534472187,0.0990945524514425,4.36299079227043
-76.8749984633178,3.924999313429,80.9060297528139,108.119552612305,23.7729173174091,4.39328835469629,0.0361104005073543,4.35717795418893
-76.8249984625727,3.924999313429,77.7999178119577,180.514312744141,23.7729173174091,4.35414037478222,0.0100199440072498,4.34412043077497
-76.2749984543771,3.924999313429,21.4530211192771,1044.35791015625,18.1429670371261,3.06586548017788,-0.273295804019854,3.33916128419774
-76.224998453632,3.924999313429,21.2889326425413,1293.07446289062,18.1429670371261,3.05818734343262,-0.236114033710292,3.29430137714291
-76.9249984640628,3.87499931268394,79.1919494259816,88.4106597900391,23.6417873980952,4.37187464499196,0.030919886481558,4.3409547585104
-76.8749984633178,3.87499931268394,71.1252712630309,155.287109375,23.6417873980952,4.26444270633069,-0.0644498420873124,4.32889254841801
-76.8249984625727,3.87499931268394,66.5667071760847,336.093811035156,23.6417873980952,4.19820456030758,-0.098076681214318,4.2962812415219
-76.2749984543771,3.87499931268394,21.6527366697645,1157.02990722656,17.9291134254605,3.07513185153,-0.211452269958974,3.28658412148898
-76.224998453632,3.87499931268394,21.6147542643146,1474.36791992188,17.9291134254605,3.07337614929784,-0.155971115222971,3.22934726452081
-76.9249984640628,3.82499931193888,74.3028939280372,116.476638793945,23.5106574413823,4.30814990019855,-0.00796471418707493,4.31611461438563
-76.8749984633178,3.82499931193888,64.8622616856144,274.782989501953,23.5106574413823,4.17226597053971,-0.115295625959192,4.2875615964989
-76.8249984625727,3.82499931193888,59.7146526460464,614.76953125,23.5106574413823,4.08957742824081,-0.136662296050426,4.22623972429124
-76.2749984543771,3.82499931193888,22.4634340795903,1161.52758789062,17.7152598885929,3.11188883520014,-0.14162905894917,3.25351789414931
-76.224998453632,3.82499931193888,23.2085746208636,1719.88049316406,17.7152598885929,3.14452180611547,-0.00828843846656213,3.15281024458203
-76.9249984640628,3.77499931119382,69.2808411513957,144.505172729492,23.3795274472704,4.23816840551124,-0.0531128129105539,4.2912812184218
-76.8749984633178,3.77499931119382,59.5451096055599,502.203186035156,23.3795274472704,4.08673416993638,-0.140030636311907,4.22676480624828
-76.8249984625727,3.77499931119382,55.6539680218467,1036.05334472656,23.3795274472704,4.01915337835744,-0.11132323059633,4.13047660895377
-76.2749984543771,3.77499931119382,22.3732712110504,1074.56494140625,17.5014065387202,3.10786699686528,-0.129080993750611,3.2369479906159
-76.224998453632,3.77499931119382,23.1369218956679,1512.7392578125,17.5014065387202,3.14142969198695,-0.0164867307992527,3.1579164227862
-76.9249984640628,3.72499931044877,67.9160759781416,294.245849609375,23.2483975279565,4.21827276616068,-0.0262223854598185,4.2444951516205
-76.8749984633178,3.72499931044877,58.6449663719306,795.774475097656,23.2483975279565,4.0715017465558,-0.0825349000822654,4.15403664663807
-76.8249984625727,3.72499931044877,54.2194286579123,1343.96459960938,23.2483975279565,3.99303930653644,-0.0621227064529795,4.05516201298942
-76.2749984543771,3.72499931044877,23.4282400092253,1030.00476074219,17.2875528896556,3.15394213272113,-0.0587879635929007,3.21273009631403
-76.224998453632,3.72499931044877,23.6694157061239,1356.76586914062,17.2875528896556,3.16418373822433,0.0103901010672414,3.15379363715709
-76.9249984640628,3.67499930970371,63.7486781154115,322.251586914062,23.1172675338446,4.15494844837903,-0.0647174190053537,4.21966586738438
-76.8749984633178,3.67499930970371,54.5475254173462,633.796020507812,23.1172675338446,3.99907234768177,-0.164401625030495,4.16347397271226
-76.8249984625727,3.67499930970371,49.8411884448276,1230.88500976562,23.1172675338446,3.9088417193961,-0.146937947219175,4.05577966661528
-76.2749984543771,3.67499930970371,22.8361004738925,1023.16107177734,17.073699502384,3.12834263789495,-0.0533668464342138,3.18170948432916
-76.224998453632,3.67499930970371,23.3751648606804,1212.46728515625,17.073699502384,3.15167412801321,0.00410897000135602,3.14756515801186
-76.9249984640628,3.62499930895865,60.9414785908392,514.394958496094,22.9861376893287,4.10991403632261,-0.0553177886176005,4.16523182494021
-76.8749984633178,3.62499930895865,50.4852347184832,598.751647949219,22.9861376893287,3.92168091171721,-0.228335869404183,4.15001678112139
-76.8249984625727,3.62499930895865,47.1731832921505,1008.32122802734,22.9861376893287,3.85382558054277,-0.222318942810515,4.07614452335329
-76.2749984543771,3.62499930895865,22.3724769429805,1034.16809082031,16.8598460403143,3.10783149547788,-0.0396377121548844,3.14746920763276
-76.224998453632,3.62499930895865,23.1417047259613,1125.55969238281,16.8598460403143,3.14163638914542,0.0106510813842691,3.13098530776115
-76.9249984640628,3.57499930821359,59.5908947392152,956.927490234375,22.8550074708228,4.08750278956839,0.0218666513547772,4.06563613821361
-76.8749984633178,3.57499930821359,50.0867792637302,757.549865722656,22.8550074708228,3.91375708631504,-0.187839914197747,4.10159700051279
-76.8249984625727,3.57499930821359,45.6762296225016,854.671569824219,22.8550074708228,3.82157802302927,-0.262501564303321,4.08407958733259
-76.2749984543771,3.57499930821359,21.1583333092813,1036.51501464844,16.6459923912497,3.05203383778587,-0.0627570481042481,3.11479088589012
-76.224998453632,3.57499930821359,22.3104102962579,1133.84167480469,16.6459923912497,3.10505339896372,0.0078168932729303,3.09723650569079
-76.9249984640628,3.52499930746853,58.1579471322206,962.422607421875,22.7238777011049,4.06316253570102,0.0182955066653768,4.04486702903564
-76.8749984633178,3.52499930746853,49.3340548007534,997.434204101562,22.7238777011049,3.89861460932867,-0.139937532516619,4.03855214184529
-76.8249984625727,3.52499930746853,45.2342263047512,1195.12939453125,22.7238777011049,3.81185401942408,-0.191040713332983,4.00289473275707
-76.2749984543771,3.52499930746853,21.2441159165106,1023.96124267578,16.4321389478796,3.05607995898052,-0.0287202089376073,3.08480016791813
-76.224998453632,3.52499930746853,22.4477206654847,1162.86181640625,16.4321389478796,3.11118907965673,0.0514417952676871,3.05974728438905
-76.9249984640628,3.47499930672348,59.5270295785024,1030.67517089844,22.5865511426739,4.08643048802858,0.0745864981446819,4.0118439898839
-76.8749984633178,3.47499930672348,51.2013918920778,1202.16638183594,22.5865511426739,3.93576671706809,-0.045146159872988,3.98091287694108
-76.8249984625727,3.47499930672348,47.8504967402953,1252.81640625,22.5865511426739,3.86808149904247,-0.103695856508656,3.97177735555113
-76.2749984543771,3.47499930672348,24.1592766085926,1008.08697509766,16.2731574002434,3.18466843092103,0.120983885392374,3.06368454552865
-76.224998453632,3.47499930672348,24.000407692833,1197.71923828125,16.2731574002434,3.17807081740504,0.148589406358139,3.0294814110469
-76.9249984640628,3.42499930597842,58.603241709849,1335.34338378906,22.4430283939137,4.07079001433361,0.135544867083426,3.93524514725019
-76.8749984633178,3.42499930597842,51.0669364860425,1570.08190917969,22.4430283939137,3.93313725229366,0.0402308569899757,3.89290639530369
